country,Exp_de_Vida_2022
Afghanistan,62.879
Africa Eastern and Southern,62.8990306485382
Africa Western and Central,57.626176164197
Albania,76.833
Algeria,77.129
American Samoa,75.32
Andorra,84.5
Angola,61.929
Antigua and Barbuda,79.236
Arab World,71.2272744547438
Argentina,76.064
Armenia,73.372
Aruba,74.992
Australia,83.2
Austria,81.0926829268293
Azerbaijan,73.488
"Bahamas, The",74.358
Bahrain,79.246
Bangladesh,73.698
Barbados,77.706
Belarus,73.1114634146342
Belgium,81.6975609756098
Belize,70.962
Benin,59.954
Bermuda,81.571
Bhutan,72.229
Bolivia,64.928
Bosnia and Herzegovina,75.293
Botswana,65.913
Brazil,73.425
British Virgin Islands,76.373
Brunei Darussalam,74.551
Bulgaria,74.3609756097561
Burkina Faso,59.766
Burundi,61.977
Cabo Verde,74.722
Cambodia,69.896
Cameroon,60.958
Canada,81.2956097560976
Caribbean small states,71.0346770865606
Cayman Islands,82.3
Central African Republic,54.477
Central Europe and the Baltics,76.7900832133555
Chad,52.997
Channel Islands,81.583
Chile,79.519
China,78.587
Colombia,73.659
Comoros,63.68
"Congo, Dem. Rep.",59.743
"Congo, Rep.",63.053
Costa Rica,77.32
Cote d'Ivoire,58.916
Croatia,77.5756097560976
Cuba,78.155
Curacao,78.5
Cyprus,81.889
Czechia,79.0292682926829
Denmark,81.3048780487805
Djibouti,62.859
Dominica,72.981
Dominican Republic,74.17
Early-demographic dividend,69.3164374718329
East Asia & Pacific,76.902046062456
East Asia & Pacific (IDA & IBRD countries),76.210674453839
East Asia & Pacific (excluding high income),76.1785115827895
Ecuador,77.894
"Egypt, Arab Rep.",70.159
El Salvador,71.475
Equatorial Guinea,61.19
Eritrea,66.604
Estonia,77.9439024390244
Eswatini,56.36
Ethiopia,65.645
Euro area,81.7013841071642
Europe & Central Asia,77.8413187004759
Europe & Central Asia (IDA & IBRD countries),73.9544949376725
Europe & Central Asia (excluding high income),74.1065139397942
European Union,80.8026211073853
Faroe Islands,83.3
Fiji,68.312
Finland,81.1878048780488
Fragile and conflict affected situations,61.7925883005562
France,82.2292682926829
French Polynesia,83.55
Gabon,65.694
"Gambia, The",62.906
Georgia,71.587
Germany,80.7056097560976
Ghana,63.945
Gibraltar,82.83
Greece,80.6365853658537
Greenland,71.5404878048781
Grenada,75.335
Guam,78.33
Guatemala,68.674
Guinea,58.985
Guinea-Bissau,59.861
Guyana,65.989
Haiti,63.728
Heavily indebted poor countries (HIPC),62.8432462611607
High income,79.5021131471029
Honduras,70.728
"Hong Kong SAR, China",83.6609756097561
Hungary,76.0170731707317
IBRD only,72.9350464590903
IDA & IBRD total,70.511910539194
IDA blend,61.2838224440537
IDA only,65.4160744865148
IDA total,64.0489235208186
Iceland,82.1707317073171
India,67.744
Indonesia,68.25
"Iran, Islamic Rep.",74.556
Iraq,71.336
Ireland,83.0560975609756
Isle of Man,80.762
Israel,82.7
Italy,82.9
Jamaica,70.629
Japan,83.9963414634146
Jordan,74.215
Kazakhstan,74.44
Kenya,62.055
Kiribati,67.661
"Korea, Dem. People's Rep.",73.578
"Korea, Rep.",82.6804878048781
Kosovo,79.524
Kuwait,80.264
Kyrgyz Republic,72.0487804878049
Lao PDR,68.999
Late-demographic dividend,77.0981546763765
Latin America & Caribbean,73.7525685276011
Latin America & Caribbean (excluding high income),73.6124458798336
Latin America & the Caribbean (IDA & IBRD countries),73.6438104178462
Latvia,74.580487804878
Least developed countries: UN classification,64.9225785824994
Lebanon,74.416
Lesotho,53.036
Liberia,61.1
Libya,72.151
Liechtenstein,84.319512195122
Lithuania,75.7926829268293
Low & middle income,70.3955870414692
Low income,63.0113103919239
Lower middle income,67.1969794891736
Luxembourg,83.0463414634146
"Macao SAR, China",85.377
Madagascar,65.23
Malawi,62.898
Malaysia,76.26
Maldives,80.839
Mali,59.417
Malta,82.7
Marshall Islands,65.146
Mauritania,64.691
Mauritius,73.5146341463415
Mexico,74.832
"Micronesia, Fed. Sts.",70.925
Middle East & North Africa,73.2112632494725
Middle East & North Africa (IDA & IBRD countries),72.2832541162233
Middle East & North Africa (excluding high income),72.2970508645214
Middle income,71.2879043700612
Moldova,68.621
Monaco,89.4
Mongolia,72.667
Montenegro,76.1878048780488
Morocco,74.973
Mozambique,59.625
Myanmar,67.256
Namibia,58.059
Nauru,64.014
Nepal,70.484
Netherlands,81.7146341463415
New Caledonia,80.9820731707317
New Zealand,82.7609756097561
Nicaragua,74.615
Niger,62.08
Nigeria,53.633
North America,77.8387536959044
North Macedonia,74.4248780487805
Northern Mariana Islands,77.45
Norway,82.5609756097561
OECD members,79.6307987453617
Oman,73.935
Other small states,72.870262555981
Pacific island small states,69.734834839395
Pakistan,66.431
Palau,74.64
Panama,76.826
Papua New Guinea,65.958
Paraguay,70.475
Peru,73.385
Philippines,72.187
Poland,77.3048780487805
Portugal,81.5804878048781
Post-demographic dividend,80.1676151914021
Pre-demographic dividend,60.503021172034
Puerto Rico,79.72
Qatar,81.559
Romania,75.3048780487805
Russian Federation,72.5456097560976
Rwanda,67.129
Samoa,72.598
San Marino,83.86
Sao Tome and Principe,68.794
Saudi Arabia,77.905
Senegal,67.913
Serbia,75.4821951219512
Seychelles,73.8487804878049
Sierra Leone,60.411
Singapore,82.8951219512195
Sint Maarten (Dutch part),74.409
Slovak Republic,77.0658536585366
Slovenia,81.2829268292683
Small states,72.1645255241764
Solomon Islands,70.742
Somalia,56.107
South Africa,61.48
South Asia,68.1609330214255
South Asia (IDA & IBRD),68.1609330214255
South Sudan,55.567
Spain,83.0829268292683
Sri Lanka,76.61
St. Kitts and Nevis,72.027
St. Lucia,71.294
St. Martin (French part),80.55
St. Vincent and the Grenadines,68.972
Sub-Saharan Africa,60.7643999775278
Sub-Saharan Africa (IDA & IBRD countries),60.7643999775278
Sub-Saharan Africa (excluding high income),60.7631048177053
Sudan,65.578
Suriname,70.289
Sweden,83.109756097561
Switzerland,83.4536585365854
Syrian Arab Republic,72.3
Tajikistan,71.288
Tanzania,66.782
Thailand,79.68
Timor-Leste,69.056
Togo,61.588
Tonga,71.27
Trinidad and Tobago,74.708
Tunisia,74.263
Turkiye,78.475
Turkmenistan,69.41
Turks and Caicos Islands,74.925
Tuvalu,64.854
Uganda,63.638
Ukraine,68.5879268292683
United Arab Emirates,79.196
United Kingdom,82.0585365853659
United States,77.4341463414634
Upper middle income,75.6956921126255
Uruguay,78.0
Uzbekistan,71.674
Vanuatu,70.492
"Venezuela, RB",71.105
Viet Nam,74.58
Virgin Islands (U.S.),80.319512195122
West Bank and Gaza,73.444
World,71.9963523835841
"Yemen, Rep.",63.72
Zambia,61.803
Zimbabwe,59.391
