data_criacao,taxa_crescimento
2006,6.451302639616755
2007,-0.6125888811299751
2008,-0.34255416114287773
2009,-0.10785858201484666
2010,-0.3308343602694688
2011,2.1404841195476596
2012,-0.15970717906944076
2013,-0.05954491193605016
2014,0.6116307590912453
2015,-0.17796051794799217
2016,0.3067213915565614
2017,-0.3616838941446654
2018,-0.0936215256277182
2019,-0.10874406511808865
2020,0.7890303572118547
2021,0.10228236511299738
2022,-0.7827291655610268
2023,-0.6076274469976444
2024,-0.9398270020574644
