data_criacao,total_de_videos_publicado
2005-06-01,188
2005-08-01,551
2005-09-01,7688
2005-10-01,55017
2005-11-01,74142
2005-12-01,9710
2006-01-01,37086
2006-02-01,280345
2006-03-01,46729
2006-04-01,63198
2006-05-01,114147
2006-06-01,337
2006-07-01,54402
2006-08-01,1638
2006-09-01,159673
2006-10-01,10991
2006-11-01,88
2006-12-01,5852
2007-01-01,2777
2007-02-01,118283
2007-03-01,131
2007-04-01,12997
2007-05-01,6156
2007-06-01,157074
2007-07-01,47374
2007-08-01,95947
2007-09-01,6922
2007-10-01,33110
2007-11-01,561
2007-12-01,24514
2008-01-01,273229
2008-02-01,146259
2008-03-01,3077
2008-04-01,4979
2008-05-01,3270
2008-06-01,8805
2008-07-01,3570
2008-08-01,4829
2008-09-01,4977
2008-10-01,4206
2008-12-01,1866
2009-02-01,6123
2009-03-01,2001
2009-04-01,251
2009-05-01,10070
2009-06-01,7972
2009-07-01,8650
2009-08-01,369713
2009-09-01,10210
2009-10-01,10220
2009-11-01,75080
2009-12-01,1784
2010-01-01,103256
2010-03-01,8294
2010-04-01,5073
2010-05-01,27376
2010-06-01,2872
2010-07-01,4851
2010-08-01,3167
2010-09-01,73687
2010-10-01,7394
2010-11-01,356
2010-12-01,4134
2011-01-01,3369
2011-02-01,29280
2011-03-01,8212
2011-04-01,3260
2011-05-01,12004
2011-06-01,440490
2011-07-01,2623
2011-08-01,211300
2011-09-01,20040
2011-10-01,3515
2011-11-01,4810
2011-12-01,105615
2012-01-01,24729
2012-02-01,3165
2012-03-01,26458
2012-04-01,5367
2012-05-01,4527
2012-06-01,3845
2012-07-01,5244
2012-08-01,21444
2012-09-01,1303
2012-10-01,3181
2012-11-01,19039
2012-12-01,8988
2013-01-01,21123
2013-02-01,2929
2013-03-01,3831
2013-04-01,63781
2013-05-01,32913
2013-06-01,11279
2013-07-01,107589
2013-08-01,4783
2013-09-01,20345
2013-10-01,8410
2013-11-01,7790
2013-12-01,14637
2014-01-01,132763
2014-02-01,6269
2014-03-01,25779
2014-04-01,193156
2014-05-01,32073
2014-06-01,192310
2014-07-01,20551
2014-08-01,79146
2014-09-01,2610
2014-10-01,2344
2014-11-01,7579
2014-12-01,1260
2015-01-01,5262
2015-02-01,20312
2015-03-01,11048
2015-04-01,6609
2015-05-01,3844
2015-06-01,67253
2015-07-01,13747
2015-08-01,6921
2015-09-01,4559
2015-10-01,12653
2015-11-01,2444
2015-12-01,7970
2016-01-01,1816
2016-02-01,96609
2016-03-01,9462
2016-04-01,9231
2016-05-01,684
2016-06-01,55241
2016-07-01,157952
2016-08-01,26981
2016-09-01,9229
2016-10-01,8025
2016-11-01,15612
2016-12-01,6394
2017-01-01,10471
2017-02-01,11975
2017-03-01,5018
2017-04-01,18508
2017-05-01,5889
2017-06-01,4726
2017-07-01,6319
2017-08-01,35529
2017-09-01,40730
2017-10-01,291286
2017-11-01,14997
2017-12-01,170498
2018-01-01,4505
2018-02-01,6464
2018-03-01,7190
2018-04-01,9261
2018-05-01,168376
2018-06-01,4308
2018-07-01,1426
2018-08-01,1055
2018-09-01,4781
2018-10-01,7763
2018-11-01,3545
2018-12-01,5581
2019-01-01,27778
2019-02-01,10503
2019-03-01,2900
2019-04-01,9943
2019-05-01,34598
2019-06-01,5349
2019-07-01,13188
2019-08-01,12117
2019-09-01,2344
2019-10-01,1445
2019-11-01,5949
2019-12-01,5289
2020-01-01,13085
2020-02-01,5039
2020-03-01,11102
2020-04-01,11368
2020-05-01,10347
2020-06-01,53309
2020-07-01,21612
2020-08-01,21796
2020-09-01,18221
2020-10-01,34375
2020-11-01,3122
2020-12-01,31169
2021-01-01,12488
2021-02-01,17878
2021-03-01,10763
2021-04-01,20963
2021-05-01,14711
2021-06-01,9198
2021-07-01,126674
2021-08-01,21843
2021-09-01,9132
2021-10-01,22698
2021-11-01,20241
2021-12-01,1298
2022-01-01,7259
2022-02-01,6705
2022-03-01,9187
2022-04-01,2591
2022-05-01,5889
2022-06-01,3946
2022-07-01,11827
2022-08-01,5694
2022-09-01,1962
2022-10-01,284
2022-11-01,264
2022-12-01,1773
2023-01-01,4237
2023-02-01,2063
2023-03-01,3008
2023-04-01,280
2023-05-01,2595
2023-06-01,1504
2023-07-01,1033
2023-08-01,2674
2023-09-01,1319
2023-10-01,1525
2023-11-01,2496
2023-12-01,1867
2024-01-01,685
2024-02-01,144
2024-03-01,980
2024-04-01,66
2024-05-01,44
