pais,populacao_2022,total_usuarios_estimado_por_pais
United States,333271400,247000000
India,1417173000,476000000
Brazil,215313500,138000000
United Kingdom,67791000,57600000
Germany,83797980,72600000
Argentina,46234830,38600000
Australia,26014400,27100000
Mexico,127504100,84200000
Indonesia,275501300,139000000
Russia,144236900,106000000
Italy,58940420,45600000
Portugal,10409700,10320000
Canada,38939060,41800000
South Korea,51672570,46400000
Spain,47778340,44300000
Turkey,84979910,57400000
Netherlands,17700980,15500000
France,67971310,52600000
Greece,10426920,6300000
Bulgaria,6465097,3100000
South Africa,59893880,24800000
New Zealand,5117200,4240000
Moldova,2538894,2600000
Switzerland,8775760,7290000
Japan,125125000,102000000
Colombia,51874020,33200000
Bolivia,12224110,6700000
Jamaica,2827377,8000000
Pakistan,235824900,71700000
Congo,99010210,7000000
Morocco,37457970,7000000
Egypt,110990100,44700000
Sweden,10486940,8700000
Romania,19047010,9300000
Serbia,6664449,6000000
Hungary,9643048,7400000
Lithuania,2831639,2120000
Norway,5457127,4620000
Ecuador,18001000,8900000
Vietnam,98186860,63000000
Korean North,26069420,10000
Puerto Rico,3220113,4000000
Ukraine,38000000,23700000
Paraguay,6780744,4470000
Uruguay,3422794,2450000
Afghanistan,41128770,5000000
Iceland,382030,290000
Andorra,79824,5000000
Bangladesh,171186400,37600000
Cooks Islands,15040,10000
Denmark,5903037,4940000
United Arab Emirates,9441129,8990000
Belgium,11685810,9440000
Saudi Arabia,36408820,27600000
San Marino,33660,4000000
Chile,19603730,15400000
Iraq,44496120,4000000
Latvia,1879383,1480000
Finland,5556106,4620000
Tunisia,12356120,3000000
Liechtenstein,39327,3000000
Cameroon,2791454,3000000
China,1412175000,10000
Philippines,115559000,56500000
Singapore,5637022,5080000
Peru,34049590,11500000
Austria,9041851,7340000
Cyprus,1251488,1200000
Czech Republic,10672120,8070000
Angola,35588990,3000000
Armenia,2780469,3300000
Azerbaijan,10141760,4900000
Belarus,9228071,7600000
Hong Kong,7346100,22100000
Bosnia and Herzegovina,3233526,2000000
Ireland,5127170,4020000
El Salvador,6336392,2100000
Malaysia,33938220,35500000
Costa Rica,5180829,3830000
Croatia,3855641,2000000
Barbados,281635,1000000
Ghana,3347587,6500000
Albania,2777689,2900000
Thailand,71697030,44200000
Panama,4408581,1000000
Kazakhstan,19634980,1000000
Malaysia,215313500,35500000
United States,215313500,247000000
Dominica,72737,1000000
Algeria,44903220,1000000
Estonia,1348840,1000000
